id,brand,model,price,screen,camera,network,color,number_reviews,delivery_time,pickup_time,date,memory_GB,rating100,screen_price_ratio
14082838.0,XIAOMI,Redmi Note 13 Pro+,399.95,"6.67""",200 MP,5G,Midnight black,,1.0,1.0,2024-04-11,512.0,,0.01667708463557945
13685800.0,SAMSUNG,Galaxy S23 Ultra,849.0,"6.8""",200 MP,5G,Phantom Black,5.0,1.0,1.0,2024-04-11,256.0,100.0,0.00800942285041225
9071623.0,APPLE,iPhone 14,629.0,"6.1""",12 MP,5G,Blau,6.0,1.0,1.0,2024-04-11,128.0,90.0,0.00969793322734499
13899730.0,APPLE,iPhone 15 Pro Max,1349.0,"6.7""",48 MP,5G,Titan Natur,5.0,,,2024-04-11,512.0,100.0,0.0049666419570051894
13899706.0,APPLE,iPhone 15 Pro,1279.0,"6.1""",48 MP,5G,Titan Natur,,,,2024-04-11,512.0,,0.004769351055512118
14103194.0,SAMSUNG,Galaxy A55 5G,479.95,"6.6""",50 MP,5G,Awesome Iceblue,,1.0,1.0,2024-04-11,256.0,40.0,0.013751432440879258
6242450.0,APPLE,iPhone 13,649.0,"6.1""",12 MP,5G,Grün,,1.0,1.0,2024-04-11,256.0,100.0,0.009399075500770416
13899728.0,APPLE,iPhone 15 Pro Max,1349.0,"6.7""",48 MP,5G,Titan Schwarz,,,,2024-04-11,512.0,60.0,0.0049666419570051894
14074052.0,SAMSUNG,Galaxy A15 5G,199.95,"6.5""",50 MP,5G,"Schwarz, Blau",,1.0,1.0,2024-04-11,128.0,,0.03250812703175794
1018402.0,APPLE,iPhone 13,649.0,"6.1""",12 MP,5G,Polarstern,3.0,1.0,1.0,2024-04-11,256.0,100.0,0.009399075500770416
13899677.0,APPLE,iPhone 15 Plus,949.0,"6.7""",48 MP,5G,Pink,,1.0,1.0,2024-04-11,256.0,100.0,0.007060063224446786
14070438.0,SAMSUNG,Galaxy S24 Ultra,1299.0,"6.8""",200 MP,5G,Titanium Black,,1.0,1.0,2024-04-11,512.0,100.0,0.005234795996920708
14103191.0,SAMSUNG,Galaxy A55 5G,429.95,"6.6""",50 MP,5G,Awesome Navy,,1.0,1.0,2024-04-11,128.0,,0.015350622165368066
14103190.0,SAMSUNG,Galaxy A55 5G,479.95,"6.6""",50 MP,5G,Awesome Navy,,1.0,1.0,2024-04-11,256.0,,0.013751432440879258
14037024.0,XIAOMI,Redmi 12,179.95,"6.79""",50 MP,,Schwarz,,1.0,1.0,2024-04-11,256.0,100.0,0.03773270352875799
9071629.0,APPLE,iPhone 14,729.0,"6.1""",12 MP,5G,Violett,,1.0,1.0,2024-04-11,256.0,100.0,0.008367626886145405
9071631.0,APPLE,iPhone 14,729.0,"6.1""",12 MP,5G,Blau,,1.0,1.0,2024-04-11,256.0,100.0,0.008367626886145405
13899731.0,APPLE,iPhone 15 Pro Max,1349.0,"6.7""",48 MP,5G,Titan Blau,,,,2024-04-11,512.0,100.0,0.0049666419570051894
13899729.0,APPLE,iPhone 15 Pro Max,1349.0,"6.7""",48 MP,5G,Titan Weiss,,,,2024-04-11,512.0,,0.0049666419570051894
13685803.0,SAMSUNG,Galaxy S23 Ultra,849.0,"6.8""",200 MP,5G,Creme,3.0,1.0,1.0,2024-04-11,256.0,100.0,0.00800942285041225
1018405.0,APPLE,iPhone 13,649.0,"6.1""",12 MP,5G,Blau,4.0,1.0,1.0,2024-04-11,256.0,100.0,0.009399075500770416
13899734.0,APPLE,iPhone 15 Pro Max,1599.0,"6.7""",48 MP,5G,Titan Schwarz,,,,2024-04-11,1000.0,100.0,0.004190118824265166
13899646.0,APPLE,iPhone 15,749.0,"6.1""",48 MP,5G,Gelb,,1.0,1.0,2024-04-11,128.0,,0.008144192256341788
1018397.0,APPLE,iPhone 13,549.0,"6.1""",12 MP,5G,(PRODUCT)RED,4.0,1.0,1.0,2024-04-11,128.0,100.0,0.01111111111111111
13899676.0,APPLE,iPhone 15 Plus,949.0,"6.7""",48 MP,5G,Schwarz,,1.0,1.0,2024-04-11,256.0,100.0,0.007060063224446786
14074049.0,SAMSUNG,Galaxy A15,179.95,"6.5""",50 MP,,Gelb,,1.0,1.0,2024-04-11,128.0,,0.03612114476243401
14082852.0,XIAOMI,Redmi 13C,149.95,"6.74""",50 MP,,Blau,,1.0,1.0,2024-04-11,256.0,,0.04494831610536846
14040952.0,SAMSUNG,Galaxy S23 FE,629.0,"6.4""",50 MP,5G,Graphite,,1.0,1.0,2024-04-11,256.0,,0.010174880763116057
13899704.0,APPLE,iPhone 15 Pro,1279.0,"6.1""",48 MP,5G,Titan Schwarz,,,,2024-04-11,512.0,,0.004769351055512118
13685801.0,SAMSUNG,Galaxy S23 Ultra,849.0,"6.8""",200 MP,5G,Grün,4.0,1.0,1.0,2024-04-11,256.0,100.0,0.00800942285041225
13899735.0,APPLE,iPhone 15 Pro Max,1599.0,"6.7""",48 MP,5G,Titan Weiss,,1.0,1.0,2024-04-11,1000.0,100.0,0.004190118824265166
