id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
13899647,APPLE,iPhone 15,749.0,128 GB,"6.1""",48 MP,5G,Blau,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-128-gb-blau-6-1-48-mp-5g--p0013899647
13899668,APPLE,iPhone 15 Plus,849.0,128 GB,"6.7""",48 MP,5G,Schwarz,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-128-gb-schwarz-6-7-48-mp-5g--p0013899668
13899699,APPLE,iPhone 15 Pro,1029.0,256 GB,"6.1""",48 MP,5G,Titan Weiss,,,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-weiss-6-1-48-mp-5g--p0013899699
6242460,APPLE,iPhone SE 2022,389.0,64 GB,"4.7""",12 MP,5G,Mitternacht,3,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-5g-64-gb-4-7-12-mp-mitternacht--p0006242460
13899736,APPLE,iPhone 15 Pro Max,1599.0,1 TB,"6.7""",48 MP,5G,Titan Natur,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-natur-6-7-48-mp-5g--p0013899736
13899655,APPLE,iPhone 15,849.0,256 GB,"6.1""",48 MP,5G,Blau,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-256-gb-blau-6-1-48-mp-5g--p0013899655
13899707,APPLE,iPhone 15 Pro,1279.0,512 GB,"6.1""",48 MP,5G,Titan Blau,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-512-gb-titan-blau-6-1-48-mp-5g--p0013899707
13899653,APPLE,iPhone 15,849.0,256 GB,"6.1""",48 MP,5G,Pink,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-256-gb-pink-6-1-48-mp-5g--p0013899653
13899693,APPLE,iPhone 15 Pro,929.0,128 GB,"6.1""",48 MP,5G,Titan Weiss,,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-weiss-6-1-48-mp-5g--p0013899693
14103192,SAMSUNG,Galaxy A55 5G,479.95,256 GB,"6.6""",50 MP,5G,Awesome Lilac,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-256-gb-awesome-lilac-6-6-50-mp-5g--p0014103192
13899671,APPLE,iPhone 15 Plus,849.0,128 GB,"6.7""",48 MP,5G,Blau,3,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-128-gb-blau-6-7-48-mp-5g--p0013899671
1018401,APPLE,iPhone 13,649.0,256 GB,"6.1""",12 MP,5G,Mitternacht,4,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-mitternacht--p0002866480
9071620,APPLE,iPhone 14,629.0,128 GB,"6.1""",12 MP,5G,Polarstern,4,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-polarstern--p0009071620
14070424,SAMSUNG,Galaxy S24,799.0,256 GB,"6.2""",50 MP,5G,Onyx Black,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-256-gb-onyx-black-6-2-50-mp-5g--p0014070424
13899705,APPLE,iPhone 15 Pro,1279.0,512 GB,"6.1""",48 MP,5G,Titan Weiss,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-512-gb-titan-weiss-6-1-48-mp-5g--p0013899705
13893050,GOOGLE,Pixel 7a,369.0,128 GB,"6.1""",64 MP,5G,Charcoal,3,3.5,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/google-pixel-7a-128-gb-charcoal-6-1-64-mp-5g--p0013893050
13899645,APPLE,iPhone 15,749.0,128 GB,"6.1""",48 MP,5G,Pink,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-128-gb-pink-6-1-48-mp-5g--p0013899645
